ID,Punto_Partida,Punto_Llegada,Distancia (km),Tiempo (min),Precio (S/),Empresa_Courier
1D1,San Isidro,San Juan de Miraflores,8.52,58,18,Olva Courier
1D1,San Isidro,San Juan de Miraflores,8.52,63,20,Serpost
1D1,San Isidro,San Juan de Miraflores,8.52,49,11,DHL Express Perú
1D2,Villa María del Triunfo,San Miguel,17.62,68,17,Olva Courier
1D2,Villa María del Triunfo,San Miguel,17.62,115,18,Serpost
1D2,Villa María del Triunfo,San Miguel,17.62,67,12,DHL Express Perú
1D3,Cieneguilla,Pueblo Libre,12.06,101,16,Olva Courier
1D3,Cieneguilla,Pueblo Libre,12.06,70,21,Serpost
1D3,Cieneguilla,Pueblo Libre,12.06,97,16,DHL Express Perú
1D4,San Martín de Porres,La Molina,22.11,105,21,Olva Courier
1D4,San Martín de Porres,La Molina,22.11,78,12,Serpost
1D4,San Martín de Porres,La Molina,22.11,28,15,DHL Express Perú
1D5,Chaclacayo,Puente Piedra,26.65,117,15,Olva Courier
1D5,Chaclacayo,Puente Piedra,26.65,46,23,Serpost
1D5,Chaclacayo,Puente Piedra,26.65,52,16,DHL Express Perú
1D6,Villa El Salvador,Carmen de la Legua Reynoso,8.32,119,19,Olva Courier
1D6,Villa El Salvador,Carmen de la Legua Reynoso,8.32,120,11,Serpost
1D6,Villa El Salvador,Carmen de la Legua Reynoso,8.32,45,18,DHL Express Perú
1D7,Ventanilla,El Agustino,17.69,97,17,Olva Courier
1D7,Ventanilla,El Agustino,17.69,69,17,Serpost
1D7,Ventanilla,El Agustino,17.69,119,14,DHL Express Perú
1D8,Magdalena del Mar,Los Olivos,13.96,76,19,Olva Courier
1D8,Magdalena del Mar,Los Olivos,13.96,35,18,Serpost
1D8,Magdalena del Mar,Los Olivos,13.96,41,16,DHL Express Perú
1D9,Ventanilla,El Agustino,6.57,71,16,Olva Courier
1D9,Ventanilla,El Agustino,6.57,90,17,Serpost
1D9,Ventanilla,El Agustino,6.57,66,26,DHL Express Perú
